,brand,state,year,quarter,count,percentage
372,Lenovo,Andhra Pradesh,2022,1,222586,0.00932963606137
373,Others,Andhra Pradesh,2022,1,1309987,0.0549077747707672
374,Xiaomi,Arunachal Pradesh,2018,1,5212,0.2424749941846941
375,Samsung,Arunachal Pradesh,2018,1,4354,0.2025587345894394
376,Vivo,Arunachal Pradesh,2018,1,3523,0.163898581065364
377,Oppo,Arunachal Pradesh,2018,1,2608,0.1213305419865084
378,Realme,Arunachal Pradesh,2018,1,1297,0.0603396138636892
379,Apple,Arunachal Pradesh,2018,1,628,0.0292160967666899
380,Gionee,Arunachal Pradesh,2018,1,563,0.0261921377064433
381,Lenovo,Arunachal Pradesh,2018,1,420,0.0195394277739009
382,OnePlus,Arunachal Pradesh,2018,1,403,0.0187485461735287
383,Motorola,Arunachal Pradesh,2018,1,343,0.0159571993486857
384,Others,Arunachal Pradesh,2018,1,2144,0.099744126541056
385,Xiaomi,Arunachal Pradesh,2018,2,8058,0.2450506340662348
386,Samsung,Arunachal Pradesh,2018,2,6633,0.20171517197336
387,Vivo,Arunachal Pradesh,2018,2,5591,0.1700270656570264
388,Oppo,Arunachal Pradesh,2018,2,4204,0.1278472158866283
389,Realme,Arunachal Pradesh,2018,2,1943,0.0590882826992671
390,Apple,Arunachal Pradesh,2018,2,869,0.0264270291640057
391,Gionee,Arunachal Pradesh,2018,2,730,0.0221999209317884
392,Lenovo,Arunachal Pradesh,2018,2,581,0.0176687041936562
393,OnePlus,Arunachal Pradesh,2018,2,554,0.016847611227686
394,Motorola,Arunachal Pradesh,2018,2,514,0.0156311772040263
395,Others,Arunachal Pradesh,2018,2,3206,0.0974971869963202
396,Xiaomi,Arunachal Pradesh,2018,3,11250,0.2449806193110056
397,Samsung,Arunachal Pradesh,2018,3,9307,0.2026697443491137
398,Vivo,Arunachal Pradesh,2018,3,8226,0.1791298288402073
399,Oppo,Arunachal Pradesh,2018,3,5992,0.130482121858804
400,Realme,Arunachal Pradesh,2018,3,2676,0.0582727233134445
401,Apple,Arunachal Pradesh,2018,3,1153,0.0251077914724968
402,Gionee,Arunachal Pradesh,2018,3,1024,0.0222986803710639
403,OnePlus,Arunachal Pradesh,2018,3,740,0.0161142807369017
